file,email,phone,match
Olivia_Wilson_resume.pdf,olivia.wilson257@testmail.org,,34.45
Chris_Wilson_resume.pdf,chris.wilson520@mail.com,,34.35
Sophia_Clark_resume.pdf,sophia.clark582@example.com,,34.06
Daniel_Davis_resume.pdf,daniel.davis70@testmail.org,,34.02
Bob_Johnson_resume.pdf,bob.johnson378@testmail.org,,33.91
Emma_White_resume.pdf,emma.white208@testmail.org,,33.91
Olivia_White_resume.pdf,olivia.white778@mail.com,,33.82
Liam_Miller_resume.pdf,liam.miller290@mail.com,,33.8
Emma_Clark_resume.pdf,emma.clark648@example.com,,33.76
Alice_Lee_resume.pdf,alice.lee724@testmail.org,,33.47
Daniel_Taylor_resume.pdf,daniel.taylor943@example.com,,33.41
Isla_Edwards_resume.pdf,isla.edwards41@testmail.org,,33.41
Emma_Moore_resume.pdf,emma.moore755@example.com,,33.24
Bob_Clark_resume.pdf,bob.clark156@example.com,,33.11
Emma_Johnson_resume.pdf,emma.johnson860@testmail.org,,33.03
David_Miller_resume.pdf,david.miller959@mail.com,,32.94
Chris_Moore_resume.pdf,chris.moore265@example.com,,32.69
Alice_Johnson_resume.pdf,alice.johnson124@example.com,,32.66
Grace_Edwards_resume.pdf,grace.edwards964@testmail.org,,32.58
Olivia_Miller_resume.pdf,olivia.miller236@testmail.org,,32.51
Emma_Davis_resume.pdf,emma.davis77@example.com,,32.47
James_Smith_resume.pdf,james.smith295@testmail.org,,32.13
Alice_Wilson_resume.pdf,alice.wilson901@testmail.org,,32.0
David_Harris_resume.pdf,david.harris27@mail.com,,31.99
Daniel_Clark_resume.pdf,daniel.clark933@mail.com,,31.95
Olivia_Doe_resume.pdf,olivia.doe893@mail.com,,31.78
Sophia_Johnson_resume.pdf,sophia.johnson769@mail.com,,31.73
Isla_Taylor_resume.pdf,isla.taylor443@testmail.org,,31.69
David_Doe_resume.pdf,david.doe804@testmail.org,,31.53
Liam_Taylor_resume.pdf,liam.taylor256@example.com,,31.42
Bob_Brown_resume.pdf,bob.brown793@example.com,,31.16
Michael_Doe_resume.pdf,michael.doe72@testmail.org,,31.09
James_Brown_resume.pdf,james.brown307@testmail.org,,30.98
Olivia_Brown_resume.pdf,olivia.brown604@mail.com,,30.86
Daniel_Smith_resume.pdf,daniel.smith295@mail.com,,30.81
Isla_Harris_resume.pdf,isla.harris726@testmail.org,,30.79
Alice_Brown_resume.pdf,alice.brown336@mail.com,,30.78
John_Moore_resume.pdf,john.moore829@mail.com,,30.77
Emma_Taylor_resume.pdf,emma.taylor338@testmail.org,,30.75
Alice_Doe_resume.pdf,alice.doe945@testmail.org,,30.6
Isla_Davis_resume.pdf,isla.davis929@testmail.org,,30.41
James_Miller_resume.pdf,james.miller297@testmail.org,,30.37
David_Smith_resume.pdf,david.smith689@testmail.org,,30.35
Alice_Smith_resume.pdf,alice.smith363@example.com,,30.15
Olivia_Taylor_resume.pdf,olivia.taylor528@example.com,,30.15
Sophia_Wilson_resume.pdf,sophia.wilson557@testmail.org,,30.14
Daniel_Brown_resume.pdf,daniel.brown601@mail.com,,30.09
David_Johnson_resume.pdf,david.johnson323@testmail.org,,30.06
David_Davis_resume.pdf,david.davis884@example.com,,30.01
Bob_Lee_resume.pdf,bob.lee530@mail.com,,29.9
Daniel_Miller_resume.pdf,daniel.miller173@mail.com,,29.86
Liam_Edwards_resume.pdf,liam.edwards351@example.com,,29.77
Michael_Brown_resume.pdf,michael.brown247@mail.com,,29.68
James_Lee_resume.pdf,james.lee726@example.com,,29.67
James_Taylor_resume.pdf,james.taylor546@example.com,,29.65
Liam_Doe_resume.pdf,liam.doe448@mail.com,,29.64
John_Clark_resume.pdf,john.clark18@testmail.org,,29.62
Isla_Lee_resume.pdf,isla.lee577@mail.com,,29.54
Bob_Davis_resume.pdf,bob.davis863@testmail.org,,29.52
Grace_Taylor_resume.pdf,grace.taylor747@testmail.org,,29.5
David_Clark_resume.pdf,david.clark867@testmail.org,,29.49
James_White_resume.pdf,james.white997@mail.com,,29.49
Isla_Clark_resume.pdf,isla.clark802@testmail.org,,29.41
Liam_White_resume.pdf,liam.white675@mail.com,,29.41
